provincia,seccion,idalumno,sector,ambito,ldesemp,mdesemp,lpuntaje,mpuntaje,NSE_puntaje,NSE_nivel,edadA_junio2023,migracion,sobreedad,Nivel_Ed_Madre,Nivel_Ed_Padre,region,clima_escolar
SFE,2,346413,Estatal,Urbano,2,3,416.18399,550.72504,-2.3287015,1,2,2,1,2,2,CENTRO,2
SFE,2,346414,Estatal,Urbano,4,3,551.32727,517.74188,.20472226,2,2,2,1,5,5,CENTRO,2
SFE,2,346415,Estatal,Urbano,4,3,566.39056,564.49298,-.040012609,2,2,2,1,5,5,CENTRO,2
SFE,2,346416,Estatal,Urbano,1,4,343.18887,620.66351,-.88269126,2,3,2,2,3,5,CENTRO,2
SFE,1,349881,Estatal,Rural,3,3,537.90118,488.03125,-.25491703,2,2,-9,1,7,4,CENTRO,2
SFE,1,349880,Estatal,Rural,4,3,562.05829,549.10815,-1.165092,1,2,2,1,5,2,CENTRO,2
SFE,1,349882,Estatal,Rural,4,4,589.68958,637.19849,1.1706324,3,2,2,1,7,7,CENTRO,2
SFE,1,349883,Estatal,Rural,2,2,410.16791,463.05286,-.6237278,2,2,2,1,5,5,CENTRO,2
SFE,1,349884,Estatal,Rural,2,2,417.56757,414.83563,-.6237278,2,1,2,0,5,5,CENTRO,2
SFE,1,349885,Estatal,Rural,1,1,380.89734,382.88489,-1.1619747,1,2,2,1,2,4,CENTRO,2
SFE,1,349886,Estatal,Rural,4,1,565.01129,379.24805,.1174721,2,2,-9,1,7,2,CENTRO,2
SFE,1,349887,Estatal,Rural,4,3,553.58636,522.15625,.76484132,2,2,2,1,5,5,CENTRO,2
SFE,1,349888,Estatal,Rural,3,3,512.22516,537.50702,1.1706324,3,2,2,1,7,7,CENTRO,2
SFE,1,349889,Estatal,Rural,3,3,448.07477,552.82324,.68085986,2,2,2,1,5,5,CENTRO,2
SFE,1,349890,Estatal,Rural,2,2,411.25995,431.88528,.51683772,2,2,2,1,7,2,CENTRO,2
SFE,1,349891,Estatal,Rural,3,3,519.58673,502.45566,-.35722223,2,2,2,1,7,2,CENTRO,2
SFE,1,349892,Estatal,Rural,2,2,412.40912,408.71176,-.90686315,2,2,2,1,5,5,CENTRO,2
SFE,1,349893,Estatal,Rural,4,4,591.02289,623.47778,.84191614,2,2,2,1,7,7,CENTRO,2
SFE,1,349894,Estatal,Rural,4,3,626.56812,581.39423,1.0238048,3,2,2,1,7,5,CENTRO,2
SFE,2,349896,Estatal,Rural,3,3,505.16214,586.43433,.51683772,2,2,-9,1,7,2,CENTRO,2
SFE,2,349897,Estatal,Rural,4,3,564.49011,587.5047,1.1706324,3,1,2,0,7,7,CENTRO,2
SFE,2,349898,Estatal,Rural,4,3,635.97125,490.36505,.84191614,2,1,2,0,7,7,CENTRO,2
SFE,2,349899,Estatal,Rural,4,4,598.4436,650.21832,.75793469,2,2,2,1,7,7,CENTRO,2
SFE,2,349900,Estatal,Rural,2,1,398.49796,267.98166,.51289707,2,2,2,1,5,5,CENTRO,2
SFE,2,349901,Estatal,Rural,3,1,453.50397,393.80878,.1174721,2,2,-9,1,7,2,CENTRO,2
SFE,2,349902,Estatal,Rural,3,3,533.03937,541.51031,.61110705,2,2,2,1,7,5,CENTRO,2
SFE,2,349903,Estatal,Rural,3,3,515.54614,535.13879,.28870368,2,2,2,1,5,5,CENTRO,2
SFE,2,349904,Estatal,Rural,2,1,446.33713,382.86301,.040914122,2,2,2,1,5,5,CENTRO,2
SFE,2,349905,Estatal,Rural,1,2,366.21487,425.99435,-1.5786757,1,2,2,1,2,4,CENTRO,2
SFE,2,349906,Estatal,Rural,3,3,547.64148,511.37238,.51289707,2,2,2,1,5,5,CENTRO,2
SFE,2,349907,Estatal,Rural,2,1,443.33533,328.03284,-.8231138,2,2,1,1,5,4,CENTRO,2
SFE,2,349908,Estatal,Rural,4,3,550.35785,503.87518,.43612504,2,2,2,1,5,5,CENTRO,2
SFE,2,349909,Estatal,Rural,3,3,500.99875,510.03348,1.4225767,3,2,2,1,7,7,CENTRO,2
SFE,2,349910,Estatal,Rural,3,3,504.64346,471.89603,.7790699,2,2,2,1,7,5,CENTRO,2
SFE,2,349911,Estatal,Rural,3,3,529.60602,500.04965,1.0238048,3,2,2,1,7,5,CENTRO,2
SDE,1,73700,Estatal,Rural,2,2,429.4234,419.47864,-1.5960215,1,2,2,1,3,2,NOA,3
SDE,1,73701,Estatal,Rural,2,3,409.27094,466.53503,-1.6100988,1,2,2,1,2,3,NOA,3
SDE,1,73703,Estatal,Rural,2,3,389.68448,524.94421,-2.5606556,1,3,2,2,5,3,NOA,3
SDE,1,73705,Estatal,Rural,2,2,438.16214,440.84174,.39749253,2,2,2,1,7,4,NOA,3
SDE,1,73706,Estatal,Rural,4,2,590.39618,419.00714,-2.7793202,1,3,2,2,2,2,NOA,3
SDE,1,73708,Estatal,Rural,3,3,538.31415,549.75769,-2.2212338,1,4,2,3,3,3,NOA,3
PBA,1,6663,Estatal,Urbano,3,1,458.50085,358.11835,-.4831042,2,2,-9,1,4,4,CENTRO,2
PBA,1,6667,Estatal,Urbano,1,1,369.86383,386.77979,-1.242982,1,3,2,2,2,3,CENTRO,2
