provincia,seccion,idalumno,sector,ambito,ldesemp,mdesemp,lpuntaje,mpuntaje,NSE_puntaje,NSE_nivel,edadA_junio2023,migracion,sobreedad,Nivel_Ed_Madre,Nivel_Ed_Padre,region,clima_escolar
CHA,1,802153,Estatal,Urbano,4,3,631.15198,532.51373,.71243441,2,2,2,1,6,7,NEA,1
CHA,1,802154,Estatal,Urbano,3,1,459.28525,393.77225,1.0552279,3,1,2,0,7,6,NEA,1
CHA,4,802161,Estatal,Urbano,3,3,534.01483,553.63397,.84191614,2,2,2,1,7,7,NEA,1
CHA,4,802162,Estatal,Urbano,3,2,493.23199,422.96564,-.42761058,2,2,2,1,7,3,NEA,1
CHA,4,802163,Estatal,Urbano,2,1,421.87302,396.68231,.93982339,2,2,2,1,7,5,NEA,1
CHA,4,802164,Estatal,Urbano,1,1,387.77094,336.92432,.26816222,2,2,2,1,5,5,NEA,1
CHA,4,802165,Estatal,Urbano,4,3,695.04218,572.25812,.68085986,2,2,2,1,5,5,NEA,1
CHA,4,802166,Estatal,Urbano,3,1,501.13635,294.20871,-.24637595,2,2,2,1,5,5,NEA,1
CHA,4,802167,Estatal,Urbano,2,1,398.12607,329.85641,.42906705,2,2,1,1,6,6,NEA,1
CHA,4,802168,Estatal,Urbano,4,3,588.15753,509.25299,.36577851,2,2,2,1,7,7,NEA,1
CHA,4,802169,Estatal,Urbano,3,2,485.31915,444.18939,.20197034,2,2,2,1,7,7,NEA,1
CHA,4,802170,Estatal,Urbano,2,2,412.58676,453.20187,.26816222,2,2,1,1,5,5,NEA,1
CHA,4,802171,Estatal,Urbano,4,2,596.69159,443.88174,.4497599,2,2,-9,1,7,7,NEA,1
CHA,4,802172,Estatal,Urbano,2,1,416.78659,369.58011,.52712566,2,2,1,1,7,5,NEA,1
CHA,4,802173,Estatal,Urbano,3,1,452.51157,373.67783,.69449478,2,2,2,1,7,7,NEA,1
CHA,4,802175,Estatal,Urbano,3,1,465.03372,360.06613,1.2546139,3,2,2,1,7,7,NEA,1
SFE,3,778239,Estatal,Urbano,4,2,625.45673,434.85196,.59687847,2,2,2,1,5,5,CENTRO,3
SFE,3,778240,Estatal,Urbano,2,2,443.69427,414.67227,.16393156,2,2,2,1,7,4,CENTRO,3
SFE,3,778241,Estatal,Urbano,4,2,576.50775,434.20343,.26510751,2,2,2,1,5,5,CENTRO,3
SFE,3,778243,Estatal,Urbano,3,3,512.11938,543.20044,-.56919068,2,3,2,2,7,7,CENTRO,3
SFE,3,778245,Estatal,Urbano,3,3,519.75159,498.30099,.99565041,3,2,2,1,5,7,CENTRO,3
SFE,3,778246,Estatal,Urbano,1,1,344.41107,357.83533,.39749253,2,5,1,4,5,4,CENTRO,3
SFE,3,778247,Estatal,Urbano,4,3,563.51575,479.87067,-.040012609,2,2,2,1,5,5,CENTRO,3
SFE,3,778248,Estatal,Urbano,4,1,556.82642,401.51773,.65668797,2,2,2,1,7,5,CENTRO,3
SFE,3,778249,Estatal,Urbano,2,3,429.21777,517.09521,-.053647462,2,2,2,1,3,3,CENTRO,3
SFE,3,778250,Estatal,Urbano,3,1,535.70453,367.57312,-.060705461,2,2,2,1,4,4,CENTRO,3
SFE,3,778251,Estatal,Urbano,4,2,552.25299,461.84521,.49593452,2,2,2,1,7,5,CENTRO,3
SFE,3,778252,Estatal,Urbano,3,3,523.70258,540.49579,.63535959,2,2,2,1,4,5,CENTRO,3
SFE,3,778254,Estatal,Urbano,2,1,441.62839,380.79001,-.20753309,2,2,2,1,4,2,CENTRO,3
SFE,3,778255,Estatal,Urbano,4,3,612.25476,525.06451,.58295268,2,3,2,2,5,7,CENTRO,3
SFE,3,778256,Estatal,Urbano,2,3,429.59705,493.35754,.34908897,2,2,2,1,5,5,CENTRO,3
SFE,3,778257,Estatal,Urbano,3,2,487.58438,436.68979,.35549054,2,2,2,1,7,4,CENTRO,3
SFE,2,778188,Estatal,Urbano,2,1,403.65857,342.59924,-.69738245,2,2,2,1,2,7,CENTRO,2
SFE,2,778189,Estatal,Urbano,3,3,503.31445,554.57135,1.0763631,3,2,2,1,7,4,CENTRO,2
SFE,2,778190,Estatal,Urbano,3,1,459.0192,392.91733,.99238169,2,2,1,1,7,4,CENTRO,2
SFE,2,778191,Estatal,Urbano,3,4,518.19757,635.93469,.35214362,2,2,2,1,5,5,CENTRO,2
SFE,2,778192,Estatal,Urbano,4,3,553.46478,588.78357,-.16949433,2,2,2,1,4,5,CENTRO,2
SFE,2,778193,Estatal,Urbano,1,1,364.56522,296.62323,-.28505021,2,3,2,2,3,3,CENTRO,2
SFE,2,778194,Estatal,Urbano,2,1,389.76297,284.90445,.59687847,2,2,1,1,5,5,CENTRO,2
